variable,question,label,bank,section,touchpoint,subgroup,role,scale_max,include,n_terisi,ada_di_data
F1B,Ke depannya saya pasti akan tetap menggunakan layanan dari bank…(kompetitor),Ke depannya saya pasti akan tetap menggunakan layanan dari …,Kompetitor,Ringkasan,,KPI Utama,KPI,6,1,546,Ya
G1C,NPS bank kompetitor,NPS bank kompetitor,Kompetitor,Ringkasan,,KPI Utama,KPI,10,1,546,Ya
E1B,Tingkat Kepuasan terhadap Bank kompetitor,Tingkat Kepuasan terhadap Bank kompetitor,Kompetitor,Ringkasan,,KPI Utama,KPI,6,1,546,Ya
F1A,Ke depannya saya pasti akan tetap menggunakan layanan dari Bank XYZ,Ke depannya saya pasti akan tetap menggunakan layanan dari …,XYZ,Ringkasan,,KPI Utama,KPI,6,1,1730,Ya
G1A,NPS Bank XYZ,NPS Bank XYZ,XYZ,Ringkasan,,KPI Utama,KPI,10,1,1730,Ya
E1A,Tingkat Kepuasan terhadap XYZ,Tingkat Kepuasan terhadap XYZ,XYZ,Ringkasan,,KPI Utama,KPI,6,1,1730,Ya
T_C1B_63,Bank swasta terbesar di Indonesia - kompetitor,Bank swasta terbesar di Indonesia,Kompetitor,Brand Image,Brand Image,Citra & Kebanggaan,Atribut,6,0,529,Ya
T_C1B_6,Bank yang digunakan banyak orang - kompetitor,Bank yang digunakan banyak orang,Kompetitor,Brand Image,Brand Image,Citra & Kebanggaan,Atribut,6,0,542,Ya
T_C1B_60,Bank yang dimiliki oleh negara - kompetitor,Bank yang dimiliki oleh negara,Kompetitor,Brand Image,Brand Image,Citra & Kebanggaan,Atribut,6,0,533,Ya
T_C1B_36,Bank yang membuat saya merasa bangga karena produk/layanan/promo yang tidak saya dapatkan dari bank lain - kompetitor,Bank yang membuat saya merasa bangga karena produk/layanan/…,Kompetitor,Brand Image,Brand Image,Citra & Kebanggaan,Atribut,6,0,543,Ya
T_C1B_42,Bank yang membuat saya merasa prestigious/bergengsi - kompetitor,Bank yang membuat saya merasa prestigious/bergengsi,Kompetitor,Brand Image,Brand Image,Citra & Kebanggaan,Atribut,6,0,544,Ya
T_C1B_3,Bank yang terkenal/terkemuka - kompetitor,Bank yang terkenal/terkemuka,Kompetitor,Brand Image,Brand Image,Citra & Kebanggaan,Atribut,6,0,544,Ya
T_C1B_62,Bank swasta terbesar di Indonesia - XYZ,Bank swasta terbesar di Indonesia,XYZ,Brand Image,Brand Image,Citra & Kebanggaan,Atribut,6,1,1688,Ya
T_C1B_5,Bank yang digunakan banyak orang - XYZ,Bank yang digunakan banyak orang,XYZ,Brand Image,Brand Image,Citra & Kebanggaan,Atribut,6,1,1728,Ya
